sample-id	Sample_type	Site	UniqueID	Year	TimePeriod	Phosphate	Silicate	Nitrite_plus_Nitrate	Ammonia	Percent_C	Percent_N	C_to_N_ratio	Latitude	Longitude	Island_shore	Habitat	Lagoon	Distance_to_crest	Distance_to_shore	Distance_to_pass	Distance_to_deep_lagoon_water	Distance_to_population_center	Population_center	dN15	dC13
1_23	lagoon water	1	1_2023-April	2023	2023-April	0.15	0.53	0.41	0.4	28.05	0.59	47.75	-17.58796058	-149.850116	SW	Fringing reef	Vaianae	843.22	195.02	1000.33	220.27	195.02	Vai'anae/Atiha	2.48	-8.07
2_23	lagoon water	2	2_2023-April	2023	2023-April	0.17	0.79	0.44	0.33	31.32	0.5	62.89	-17.59042955	-149.8513141	SW	Mid lagoon	Vaianae	553.98	506.75	809.65	250	506.75	Vai'anae/Atiha	2.39	-8.08
3_23	lagoon water	3	3_2023-April	2023	2023-April	0.12	0.79	0.4	0.39	30.04	0.56	53.65	-17.59052703	-149.861271	SW	Reef crest	Vaianae	307.22	1164.85	1707.27	290.83	1164.85	Vai'anae/Atiha	2.29	-9.05
4_23	lagoon water	4	4_2023-April	2023	2023-April	0.11	0.74	0.51	0.26	30.31	0.5	60.03	-17.58473849	-149.8584346	SW	Fringing reef	Vaianae	968.86	664.71	1788.31	203.81	664.71	Vai'anae/Atiha	1.87	-7.6
5_23	lagoon water	5	5_2023-April	2023	2023-April	0.13	0.67	0.73	1.85	29.42	0.57	51.37	-17.58509698	-149.8672942	SW	Reef crest	Vaianae	205.62	1171.22	1732.15	450.97	1610.76	Vai'anae/Atiha	1.78	-8.37
6_23	lagoon water	6	6_2023-April	2023	2023-April	0.13	0.81	0.64	1.9	30.08	0.53	56.38	-17.57797027	-149.8731899	SW	Reef crest	Vaianae	200.52	1057.87	735.57	595.65	2279.93	Vai'anae/Atiha	1.82	-8.77
7_23	lagoon water	7	7_2023-April	2023	2023-April	0.09	1.02	0.78	2.41	27.69	0.55	50.67	-17.57851023	-149.8622209	SW	Fringing reef	Vaianae	1040.23	292.1	1847.12	48.29	1155.44	Vai'anae/Atiha	1.99	-8.41
8a_23	lagoon water	8	8a_2023-April	2023	2023-April	0.1	1.01	0.6	0.43	28.33	0.6	47.52	-17.58234638	-149.8545238	SW	Fringing reef	Vaianae	1399.18	211.44	1770.73	10.02	211.44	Vai'anae/Atiha	1.56	-7.55
8b_23	lagoon water	8	8b_2023-April	2023	2023-April	0.1	1.01	0.6	0.43	28.33	0.6	47.52	-17.58234638	-149.8545238	SW	Fringing reef	Vaianae	1399.18	211.44	1770.73	10.02	211.44	Vai'anae/Atiha	1.56	-7.55
9_23	lagoon water	9	9_2023-April	2023	2023-April	0.09	0.7	0.68	1.68	28.97	0.5	57.56	-17.57452698	-149.8740018	SW	Reef crest	Vaianae	377.77	859.38	525.73	273.81	2416.43	Vai'anae/Atiha	1.98	-8.79
